"value_n","timestamp","key"
22.514326,2020-04-08 14:54:29,HouseAir_5Min_KMAnamoly
19.90325,2020-04-08 14:54:30,HouseAir_5Min_KMAnamoly
21.558437,2020-04-08 14:54:31,HouseAir_5Min_KMAnamoly
20.485952,2020-04-08 14:54:31,HouseAir_5Min_KMAnamoly
22.478556,2020-04-08 14:54:32,HouseAir_5Min_KMAnamoly
21.090925,2020-04-08 14:54:35,HouseAir_5Min_KMAnamoly
18.600245,2020-04-08 14:54:35,HouseAir_5Min_KMAnamoly
23.224743,2020-04-08 14:54:35,HouseAir_5Min_KMAnamoly
19.28739,2020-04-08 14:54:36,HouseAir_5Min_KMAnamoly
17.651865,2020-04-08 14:54:36,HouseAir_5Min_KMAnamoly
17.80476,2020-04-08 14:54:36,HouseAir_5Min_KMAnamoly
18.640203,2020-04-08 14:54:38,HouseAir_5Min_KMAnamoly
16.384937,2020-04-08 14:54:38,HouseAir_5Min_KMAnamoly
25.716167,2020-04-08 14:54:38,HouseAir_5Min_KMAnamoly
25.10603,2020-04-08 14:54:39,HouseAir_5Min_KMAnamoly
44.330585,2020-04-08 14:54:47,HouseAir_5Min_KMAnamoly
52.674923,2020-04-08 14:54:49,HouseAir_5Min_KMAnamoly
22.246126,2020-04-08 14:54:50,HouseAir_5Min_KMAnamoly
39.615543,2020-04-08 14:55:14,HouseAir_5Min_KMAnamoly
24.051517,2020-04-08 14:55:14,HouseAir_5Min_KMAnamoly
28.630157,2020-04-08 14:55:15,HouseAir_5Min_KMAnamoly
23.397644,2020-04-08 14:55:17,HouseAir_5Min_KMAnamoly
22.507048,2020-04-08 14:55:17,HouseAir_5Min_KMAnamoly
20.254732,2020-04-08 14:55:17,HouseAir_5Min_KMAnamoly
16.674688,2020-04-08 14:55:19,HouseAir_5Min_KMAnamoly
18.513638,2020-04-08 14:55:19,HouseAir_5Min_KMAnamoly
10.258878,2020-04-08 14:55:19,HouseAir_5Min_KMAnamoly
21.25911,2020-04-08 14:55:30,HouseAir_5Min_KMAnamoly
19.644312,2020-04-08 14:55:31,HouseAir_5Min_KMAnamoly
13.411444,2020-04-08 14:55:32,HouseAir_5Min_KMAnamoly
19.68762,2020-04-08 14:55:32,HouseAir_5Min_KMAnamoly
13.186195,2020-04-08 14:55:34,HouseAir_5Min_KMAnamoly
16.85155,2020-04-08 14:55:34,HouseAir_5Min_KMAnamoly
22.702364,2020-04-08 14:55:35,HouseAir_5Min_KMAnamoly
16.226822,2020-04-08 14:55:35,HouseAir_5Min_KMAnamoly
17.371185,2020-04-08 14:55:36,HouseAir_5Min_KMAnamoly
21.743889,2020-04-08 14:55:37,HouseAir_5Min_KMAnamoly
12.702109,2020-04-08 14:55:38,HouseAir_5Min_KMAnamoly
21.572153,2020-04-08 14:55:39,HouseAir_5Min_KMAnamoly
28.575693,2020-04-08 14:55:40,HouseAir_5Min_KMAnamoly
23.622084,2020-04-08 14:55:40,HouseAir_5Min_KMAnamoly
19.815325,2020-04-08 14:55:40,HouseAir_5Min_KMAnamoly
20.89494,2020-04-08 14:55:42,HouseAir_5Min_KMAnamoly
29.215115,2020-04-08 14:55:44,HouseAir_5Min_KMAnamoly
56.214054,2020-04-08 14:55:46,HouseAir_5Min_KMAnamoly
91.804375,2020-04-08 14:55:46,HouseAir_5Min_KMAnamoly
