datetime,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
28/05/2020 14:30,162,47.42529297,59,53.50732422,974.6171875,1016.757813,394.2421875,649.4296875,606.78125
28/05/2020 14:35,163,47.64501953,59,53.4765625,974.9765625,1018.351563,394.0859375,653.2578125,603.375
28/05/2020 14:40,164,47.62402344,59,53.47119141,977.578125,1024.671875,393.921875,657.0859375,599.578125
28/05/2020 14:45,165,47.71386719,59,53.29296875,977.3203125,1031.40625,393.484375,657.0859375,598.140625
28/05/2020 14:50,166,47.8046875,59.00488281,53.53808594,958.0078125,1012.640625,391.7382813,644.34375,607.1640625
28/05/2020 14:55,167,47.99853516,59.12255859,53.65869141,960.9921875,996.4453125,391.6523438,649.0546875,603.0234375
28/05/2020 15:00,168,48,59.37695313,53.91162109,947.140625,954.9765625,388.6210938,645.875,601.7265625
28/05/2020 15:05,169,48,59.65380859,54,979.5234375,1051.578125,390.2265625,665.4921875,586.2734375
28/05/2020 15:10,170,48,59.86962891,54,984.7734375,1059.625,390.6992188,665.5703125,586.296875
28/05/2020 15:15,171,48,59.94824219,54,1004.0625,1064.25,393.8007813,672.84375,585.8984375
28/05/2020 15:20,172,48,60,54,992.6328125,1051.359375,393.9453125,668.15625,590.9453125
28/05/2020 15:25,173,48,60,54,976.8046875,1036.796875,393.3984375,662.5390625,595.890625
28/05/2020 15:30,174,48,60,54,961.578125,1029.046875,392.8164063,656.953125,598.3203125
28/05/2020 15:35,175,48,60,54,952.390625,1018.890625,392.8320313,654.5234375,600.4296875
28/05/2020 15:40,176,48,60,54,962.1171875,1032.984375,393.0351563,660.328125,596.078125
28/05/2020 15:45,177,48,60,54,978.546875,1042.34375,393.7070313,666.46875,591.875
28/05/2020 15:50,178,48,60,54,993.1015625,1050.234375,393.78125,670.8046875,587.3203125
28/05/2020 15:55,179,48.08984375,60,54,986.3359375,1047.28125,393.9375,665.8125,592.359375
28/05/2020 16:00,180,48.33007813,60,54,951.53125,1014.914063,391.6523438,649.28125,604.1015625
28/05/2020 16:05,181,48.39697266,60,54.17480469,920.2890625,980.625,390.375,642.0078125,609.109375
28/05/2020 16:10,182,48.30712891,60,54.17480469,904.2578125,970.078125,390.359375,644.375,605.953125
28/05/2020 16:15,183,48.06689453,60,54.17480469,907.6796875,980.0859375,392.3867188,656.7890625,597.09375
28/05/2020 16:20,184,48,60,54,905.8359375,978.5390625,393.9804688,658.71875,595.8984375
28/05/2020 16:25,185,48,60,54.06640625,895.25,966.40625,393.6601563,652.8828125,600.625
28/05/2020 16:30,186,48,60,54.06738281,885.453125,955.28125,393.25,645.1484375,607.8515625
28/05/2020 16:35,187,48,60,54.13378906,872.3828125,942.8671875,389.890625,636.9296875,611.6953125
28/05/2020 16:40,188,48,60,54.18164063,861.4296875,932.9921875,388.0351563,631.109375,614.359375
28/05/2020 16:45,189,48,60,54.18066406,851.7421875,924.5,385.4804688,630.9375,610.8359375
28/05/2020 16:50,190,48,60,54.11425781,841.1953125,915.265625,382.65625,632.984375,605.0390625
28/05/2020 16:55,191,48,60,54,824.46875,899.1953125,377.4257813,635.5078125,594.4609375
28/05/2020 17:00,192,48,60,54,806.28125,880.609375,371.34375,636.3828125,583.1953125
28/05/2020 17:05,193,47.91308594,59.81054688,53.77978516,789.296875,862.1796875,365.59375,639.0703125,571.828125
28/05/2020 17:10,194,47.71044922,59.47753906,53.26757813,769.65625,842.4453125,358.3945313,640.875,559.8046875
28/05/2020 17:15,195,47.40039063,59.14404297,52.27148438,734.078125,810.09375,345.2421875,644.6328125,536.9453125
28/05/2020 17:20,196,46.88427734,58.66894531,51.11181641,689.6015625,751.3828125,328.4179688,647.9921875,508.1601563
28/05/2020 17:25,197,46.41992188,58.13427734,49.76025391,638.328125,711.0859375,308.1953125,651.9140625,473.7578125
28/05/2020 17:30,198,46.06298828,57.31152344,48.26611328,570.125,680.234375,277.3242188,654.8515625,424.0664063
28/05/2020 17:35,199,45.72314453,56.44091797,46.37451172,492.1953125,528.9140625,236.890625,657.609375,360.2578125
28/05/2020 17:40,200,44.99560547,55.41162109,44.96972656,429.8085938,462.9726563,210.125,661.6484375,316.96875
28/05/2020 17:45,201,44.04296875,54.33007813,43.99804688,406.4921875,453.2109375,200.3945313,664.09375,301.4453125
28/05/2020 17:50,202,43.17871094,53.203125,43.21923828,386.34375,441.6210938,195.3574219,665.46875,293.5546875
28/05/2020 17:55,203,42.79492188,52.1171875,42.39794922,353.8476563,403.828125,176.5644531,666.390625,265.5507813
28/05/2020 18:00,204,43.06835938,51.35498047,41.86035156,306.6367188,344.0429688,152.0292969,669.7421875,227.5683594
28/05/2020 18:05,205,43.32666016,50.67285156,41.51318359,265.8164063,304.2109375,129.7695313,673.359375,193.4804688
28/05/2020 18:10,206,43.28466797,49.953125,40.72998047,221.6445313,255.2695313,106.4697266,676.3515625,157.9238281
28/05/2020 18:15,207,42.47753906,48.88916016,39.72998047,181.4511719,214.5898438,84.69921875,677.5,125.3261719
28/05/2020 18:20,208,41.78857422,47.82373047,38.51611328,138.7480469,162.5429688,62.83544922,674.1640625,92.90332031
28/05/2020 18:25,209,41.41259766,47.29150391,38.08349609,119.7626953,138.9375,52.69287109,671.65625,77.93554688
28/05/2020 18:30,210,41.28564453,46.77490234,37.16748047,93.38769531,109.4296875,39.98828125,665.71875,59.35791016
28/05/2020 18:35,211,44.16239607,44.16239607,44.16239607,0,0,0,0,0
28/05/2020 18:40,212,43.45787749,43.45787749,43.45787749,0,0,0,0,0
