date,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
21/06/2020 01:40,6920,22.54871109,22.54871109,22.54871109,0,0,0,0,0
21/06/2020 01:45,6921,22.57407274,22.57407274,22.57407274,0,0,0,0,0
21/06/2020 01:50,6922,22.59943438,22.59943438,22.59943438,0,0,0,0,0
21/06/2020 01:55,6923,22.62479603,22.62479603,22.62479603,0,0,0,0,0
21/06/2020 02:00,6924,22.65015767,22.65015767,22.65015767,0,0,0,0,0
21/06/2020 02:05,6925,22.70334008,22.70334008,22.70334008,0,0,0,0,0
21/06/2020 02:10,6926,22.75652248,22.75652248,22.75652248,0,0,0,0,0
21/06/2020 02:15,6927,22.80970488,22.80970488,22.80970488,0,0,0,0,0
21/06/2020 02:20,6928,22.86288728,22.86288728,22.86288728,0,0,0,0,0
21/06/2020 02:25,6929,22.91606968,22.91606968,22.91606968,0,0,0,0,0
21/06/2020 02:30,6930,22.96925208,22.96925208,22.96925208,0,0,0,0,0
21/06/2020 02:35,6931,23.02243448,23.02243448,23.02243448,0,0,0,0,0
21/06/2020 02:40,6932,23.07561688,23.07561688,23.07561688,0,0,0,0,0
21/06/2020 02:45,6933,23.12879928,23.12879928,23.12879928,0,0,0,0,0
21/06/2020 02:50,6934,23.18198168,23.18198168,23.18198168,0,0,0,0,0
21/06/2020 02:55,6935,23.23516408,23.23516408,23.23516408,0,0,0,0,0
21/06/2020 03:00,6936,23.28834648,23.28834648,23.28834648,0,0,0,0,0
21/06/2020 03:05,6937,23.42327426,23.42327426,23.42327426,0,0,0,0,0
21/06/2020 03:10,6938,23.55820203,23.55820203,23.55820203,0,0,0,0,0
21/06/2020 03:15,6939,23.6931298,23.6931298,23.6931298,0,0,0,0,0
21/06/2020 03:20,6940,23.82805757,23.82805757,23.82805757,0,0,0,0,0
21/06/2020 03:25,6941,23.96298535,23.96298535,23.96298535,0,0,0,0,0
21/06/2020 03:30,6942,24.09791312,24.09791312,24.09791312,0,0,0,0,0
21/06/2020 03:35,6943,24.23284089,24.23284089,24.23284089,0,0,0,0,0
21/06/2020 03:40,6944,24.36776866,24.36776866,24.36776866,0,0,0,0,0
21/06/2020 03:45,6945,24.50269644,24.50269644,24.50269644,0,0,0,0,0
21/06/2020 03:50,6946,24.63762421,24.63762421,24.63762421,0,0,0,0,0
21/06/2020 03:55,6947,24.77255198,24.77255198,24.77255198,0,0,0,0,0
21/06/2020 04:00,6948,24.90747975,24.90747975,24.90747975,0,0,0,0,0
21/06/2020 04:05,6949,25.00205565,25.00205565,25.00205565,0,0,0,0,0
21/06/2020 04:10,6950,25.09663154,25.09663154,25.09663154,0,0,0,0,0
21/06/2020 04:15,6951,25.19120744,25.19120744,25.19120744,0,0,0,0,0
21/06/2020 04:20,6952,25.28578333,25.28578333,25.28578333,0,0,0,0,0
21/06/2020 04:25,6953,25.38035923,25.38035923,25.38035923,0,0,0,0,0
21/06/2020 04:30,6954,25.47493512,25.47493512,25.47493512,0,0,0,0,0
21/06/2020 04:35,6955,25.56951101,25.56951101,25.56951101,0,0,0,0,0
21/06/2020 04:40,6956,25.66408691,25.66408691,25.66408691,0,0,0,0,0
21/06/2020 04:45,6957,25.7586628,25.7586628,25.7586628,0,0,0,0,0
21/06/2020 04:50,6958,25.8532387,25.8532387,25.8532387,0,0,0,0,0
21/06/2020 04:55,6959,25.94781459,25.94781459,25.94781459,0,0,0,0,0
21/06/2020 05:00,6960,26.04239048,26.04239048,26.04239048,0,0,0,0,0
21/06/2020 05:05,6961,26.30075268,26.30075268,26.30075268,0,0,0,0,0
21/06/2020 05:10,6962,26.55911488,26.55911488,26.55911488,0,0,0,0,0
21/06/2020 05:15,6963,26.81747708,26.81747708,26.81747708,0,0,0,0,0
21/06/2020 05:20,6964,27.07583928,27.07583928,27.07583928,0,0,0,0,0
21/06/2020 05:25,6965,27.33420148,27.33420148,27.33420148,0,0,0,0,0
21/06/2020 05:30,6966,27.59256368,27.59256368,27.59256368,0,0,0,0,0
21/06/2020 05:35,6967,27.85092588,27.85092588,27.85092588,0,0,0,0,0
21/06/2020 05:40,6968,28.10928808,28.10928808,28.10928808,0,0,0,0,0
21/06/2020 05:45,6969,28.36765028,28.36765028,28.36765028,0,0,0,0,0
21/06/2020 05:50,6970,28.62601248,28.62601248,28.62601248,0,0,0,0,0
21/06/2020 05:55,6971,28.88437468,28.88437468,28.88437468,0,0,0,0,0
21/06/2020 06:00,6972,29.14273687,29.14273687,29.14273687,0,0,0,0,0
21/06/2020 06:05,6973,29.3473201,29.3473201,29.3473201,0,0,0,0,0
21/06/2020 06:10,6974,29.55190332,29.55190332,29.55190332,0,0,0,0,0
21/06/2020 06:15,6975,29.75648654,29.75648654,29.75648654,0,0,0,0,0
21/06/2020 06:20,6976,32.93896484,36.15673828,37.40478516,139.2753906,118.1640625,15.95922852,554.375,27.47973633
21/06/2020 06:25,6977,32.74658203,36.56640625,37.26318359,120.8359375,128.7265625,25.05834961,594.2578125,40.91650391
21/06/2020 06:30,6978,32.54492188,36.72119141,38.58154297,127.6640625,148.5761719,33.76318359,625.6328125,51.93212891
21/06/2020 06:35,6979,32.58349609,37.14892578,38.74023438,141.2851563,173.9277344,49.93164063,666.0390625,73.77050781
21/06/2020 06:40,6980,32.71923828,37.50195313,39.72998047,178.7441406,219.3457031,68.8359375,691.234375,98.73535156
21/06/2020 06:45,6981,32.99169922,37.83544922,39.02392578,219.5449219,268.203125,89.7734375,699.1171875,127.78125
21/06/2020 06:50,6982,33.10498047,38.08984375,40.19970703,262.515625,318.9023438,112.1220703,702.765625,159.6132813
21/06/2020 06:55,6983,33.43798828,38.43896484,40.06445313,307.140625,370.6875,135.5,700.7890625,193.84375
21/06/2020 07:00,6984,33.77148438,38.90136719,40.72705078,352.8671875,422.7265625,159.5019531,698.8984375,228.8671875
21/06/2020 07:05,6985,34.00048828,39.46777344,41.05322266,399.5546875,474.7304688,184.015625,698.1484375,264.0625
21/06/2020 07:10,6986,34.10351563,40.18652344,42.16259766,445.7695313,525.25,208.6816406,697.5625,299.4570313
21/06/2020 07:15,6987,34.36865234,41.08300781,42.89355469,492.6210938,575.6328125,232.7421875,694.7265625,335.3710938
21/06/2020 07:20,6988,34.70117188,42.04541016,43.02392578,541.921875,628.0078125,256.4648438,689.625,372.0820313
21/06/2020 07:25,6989,35.06396484,42.97216797,43.28173828,594.7890625,683.546875,280.28125,683.890625,409.8828125
21/06/2020 07:30,6990,35.46533203,44.15966797,43.984375,648.4453125,738.8046875,303.90625,677.15625,447.7929688
21/06/2020 07:35,6991,36.07373047,45.63037109,45.17578125,700.953125,791.8046875,327.3984375,672.3515625,486.1132813
21/06/2020 07:40,6992,36.99169922,47.26513672,45.58642578,745.21875,835.265625,347.859375,668.0078125,521.3828125
21/06/2020 07:45,6993,38.18164063,49.00244141,46.41357422,779.109375,868.328125,363.25,662.7890625,548.640625
21/06/2020 07:50,6994,39.4453125,50.82128906,46.21826172,803.3359375,891.5234375,372.9726563,657.375,567.484375
21/06/2020 07:55,6995,40.59033203,52.43212891,46.53613281,823.5078125,909.9375,379.3398438,652.078125,579.859375
21/06/2020 08:00,6996,42.01025391,52.55908203,46.28564453,842.2734375,925.546875,384.8359375,649.4375,591.28125
21/06/2020 08:05,6997,43.91845703,51.09228516,46.95263672,858.875,938.796875,390.1796875,649.1796875,600.953125
21/06/2020 08:10,6998,45.98095703,49.20214844,47.73779297,874.65625,952.0703125,393.609375,655.75,600.609375
21/06/2020 08:15,6999,47.64111328,48.12451172,48.43896484,889.8203125,965.625,395.5585938,665.3046875,594.890625
21/06/2020 08:20,7000,48.78955078,48,48.77246094,904.4765625,978.5703125,395.421875,674.1015625,585.6875
21/06/2020 08:25,7001,49.74072266,48,48.98681641,918.34375,990.6640625,395.1210938,678.7734375,581.5703125
21/06/2020 08:30,7002,50.80273438,48.02441406,49.32958984,931.7578125,1002.117188,394.8320313,680.1875,579.7734375
21/06/2020 08:35,7003,51.78759766,48.33203125,49.66308594,944.5234375,1013.039063,394.203125,681.0390625,577.9375
21/06/2020 08:40,7004,52.24658203,48.66552734,50.10595703,956.609375,1024,393.7734375,680.609375,577.5078125
21/06/2020 08:45,7005,52.30419922,48.97412109,50.43017578,967.65625,1035.484375,393.25,680.7421875,577.8046875
21/06/2020 08:50,7006,52.27294922,49.04980469,50.76367188,977.8046875,1046.78125,393.7070313,680.2421875,579.0078125
21/06/2020 08:55,7007,52.51171875,49.34765625,51.02441406,987.3984375,1057.5625,394.2148438,679.5078125,580.109375
21/06/2020 09:00,7008,52.78857422,49.68115234,51.30810547,996.4140625,1066.53125,394.3867188,679.21875,580.3671875
21/06/2020 09:05,7009,52.90625,50.15527344,51.64160156,1004.398438,1073.546875,394.0976563,678.1953125,581.5
21/06/2020 09:10,7010,53,50.48876953,51.93798828,1011.101563,1078.21875,394.0351563,677.875,582.546875
21/06/2020 09:15,7011,53.17333984,50.82226563,52.10546875,1017.546875,1082.28125,394.0585938,676.5703125,583.7890625
21/06/2020 09:20,7012,53.50683594,50.96435547,52.42431641,1022.945313,1084.84375,394.4453125,675.8125,584.15625
21/06/2020 09:25,7013,54.02929688,51.203125,52.75732422,1028.0625,1087.359375,394.3710938,673.6953125,584.0234375
21/06/2020 09:30,7014,54.52197266,51.53662109,53.01855469,1032,1089.5,394.4453125,671.9453125,584.6796875
21/06/2020 09:35,7015,54.85546875,51.91308594,53.36279297,1035.84375,1092.796875,393.8359375,670.625,585.984375
