deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0128,774.2096982225011,649.6773807006646,759.8025693203075,48.545972235175796,2.302736204501627,40,01/31/2020 02:32,
CakebreadId_0128,792.0149903459835,687.3358554109826,736.4507879637554,46.29569450324681,2.283189793225992,38,01/31/2020 02:32,
CakebreadId_0128,777.231979179546,673.6086368829348,801.3766665073741,40.99424928239735,2.5343837433001766,45,01/31/2020 02:33,
CakebreadId_0128,759.3981741890016,671.2800205012786,704.1288809529101,35.25221182173373,2.1665137649706683,42,01/31/2020 02:34,
CakebreadId_0128,824.063998477158,656.0240301292441,739.9028658976633,32.53796013555912,2.436261784015485,39,01/31/2020 02:34,
CakebreadId_0128,850.5923669815066,631.9026300464333,856.2562551418634,35.4299587608654,2.824215253016433,37,01/31/2020 02:35,
CakebreadId_0128,742.9407165723197,615.1619098759154,766.0862387182524,42.78216942569801,2.241683708633512,42,01/31/2020 02:35,
CakebreadId_0128,575.7534898457229,561.1224000571322,621.8992517344702,49.34959258207258,1.7310843667658802,45,01/31/2020 02:35,
CakebreadId_0128,600.4938243262752,611.9593304405549,569.4258059117265,50.18832863603585,2.0156820833346893,46,01/31/2020 02:35,
CakebreadId_0128,679.3873563072578,675.5386913392035,666.9130213784097,46.763244461281886,2.279495378302288,38,01/31/2020 02:37,
CakebreadId_0128,763.0678712552807,721.6915829527475,669.6739621734573,45.334645842371536,2.3402040513538203,39,01/31/2020 02:37,
CakebreadId_0128,844.5905033127718,686.4227059765917,738.9603044076351,49.07931675704899,2.3434582070299217,42,01/31/2020 02:38,
CakebreadId_0128,925.2888084460784,660.0796458140843,882.5488362456337,55.17258022303153,2.5264381385534698,44,01/31/2020 02:38,
CakebreadId_0128,871.1844396324558,622.6688740082768,729.8598690440423,58.790469299173154,2.0991683248971893,47,01/31/2020 02:38,
CakebreadId_0128,858.516920583772,615.7158263250966,658.228943672949,58.12455549605882,2.001810400227739,39,01/31/2020 02:40,
CakebreadId_0128,803.734747755111,647.6651615863444,530.5384785779491,54.93798667784683,2.042705267435412,40,01/31/2020 02:41,
CakebreadId_0128,723.0415490224892,675.2339561041825,560.3722850746085,50.82819842579129,1.9836698959505634,46,01/31/2020 02:41,
CakebreadId_0128,693.2330014281341,616.9430506374744,651.5880431990737,45.281081894713324,1.9065406250217563,41,01/31/2020 02:42,
CakebreadId_0128,716.0877350249493,608.8022318830223,617.8857188127274,38.34205571732313,1.847701493731745,42,01/31/2020 02:43,
CakebreadId_0128,739.6086935249587,693.9080807077512,666.1231509398465,33.449127938511374,1.8161086555477997,40,01/31/2020 02:43,
CakebreadId_0128,657.5937963157728,728.3980266358058,554.2129136382547,35.50339582182686,1.7352940392683338,38,01/31/2020 02:43,
CakebreadId_0128,466.2414326504743,646.1054903059612,371.31704226991815,45.0006532023169,1.1929996056275203,41,01/31/2020 02:43,
CakebreadId_0128,394.7797602584946,683.7659311458698,345.19374977185913,55.88865180788648,1.2059420223915185,44,01/31/2020 02:44,
CakebreadId_0128,405.50571119635384,622.6286790542465,344.87385005484816,60.58837787572772,1.3060700835252266,47,01/31/2020 02:44,
CakebreadId_0128,491.41759128220815,546.9681585553133,488.42394693380993,56.87366806503718,1.8384177925600453,43,01/31/2020 02:45,
CakebreadId_0128,519.2574022076046,589.4671147862073,527.3368392655885,50.073921542906746,1.4622685670852569,41,01/31/2020 02:46,
CakebreadId_0128,529.818026941315,583.3394111922572,492.1907753589667,47.87417032893956,1.3348656717406209,39,01/31/2020 02:46,
CakebreadId_0128,510.1515550164974,607.468460389163,453.4081348325087,52.62344296613423,1.2804426087216976,40,01/31/2020 02:46,
CakebreadId_0128,474.8670231476342,588.559677293948,411.0867766488933,59.5250452319939,1.249428202300848,47,01/31/2020 02:47,
CakebreadId_0128,472.134035153786,637.2019813903704,314.0178741897129,61.68737610494908,1.226958400653354,45,01/31/2020 02:47,
CakebreadId_0128,490.4372267003641,573.7359774620347,425.7531435151424,56.56956222991293,1.6123671175691607,42,01/31/2020 02:48,
CakebreadId_0128,525.4295622521053,510.699925900023,534.8412128002295,48.18251497469122,1.4896990914465487,41,01/31/2020 02:48,
CakebreadId_0128,559.2589752200648,538.1243350164691,479.2581061135712,43.07748262038418,1.2987040959861933,42,01/31/2020 02:48,
CakebreadId_0128,574.4578767906229,603.1462653407013,458.09990058054933,44.008721207919805,1.271535211556622,39,01/31/2020 02:49,
CakebreadId_0128,542.5088085533976,650.6886400141835,368.0765031412504,47.53022293117384,1.174032928675467,42,01/31/2020 02:49,
CakebreadId_0128,470.31404155141047,576.5958773353775,278.22352144066286,47.811726150170905,1.0011637497466075,46,01/31/2020 02:50,
CakebreadId_0128,505.65519525920195,510.65628426820007,378.9513335609534,42.49065550504679,1.5613231128176044,42,01/31/2020 02:51,
CakebreadId_0128,590.3262848456878,523.6862035778728,484.28304120351,35.43803754589999,1.6630503265367897,40,01/31/2020 02:51,
CakebreadId_0128,642.913487506599,625.9336922835126,599.0961672063149,33.44017438792257,1.7856531958266975,38,01/31/2020 02:52,
CakebreadId_0128,664.4330193294621,623.4438061704766,597.8781311795493,39.121946589929294,1.6449861758837,39,01/31/2020 02:52,
CakebreadId_0128,640.0378917732659,641.6148187177324,526.6015042102689,47.76448561396776,1.418003168954147,44,01/31/2020 02:52,
CakebreadId_0128,655.7111398513131,693.0158382459182,451.59673252395567,51.538228882723935,1.746804424884728,47,01/31/2020 02:53,
CakebreadId_0128,706.6009193153027,632.5546756659771,599.4550999057573,47.475614578181116,2.4545101146385817,41,01/31/2020 02:54,
CakebreadId_0128,665.2288429263491,607.890748555591,657.5819743444371,40.60885664617575,1.977551682501999,39,01/31/2020 02:54,
CakebreadId_0128,681.2482876891095,626.0134315999137,671.2393090247892,38.80677172876809,1.809131799425253,41,01/31/2020 02:54,
