SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,WARN,KW_HOUR,VOLTAGE,ALARM,POWER,CURRENT,TIMESTAMP,DEVICETYPE,DEVICEID,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,RCV_TIMESTAMP_UTC,UPDATED_UTC
1063,52.8,49.286,04714B601096,a,44.343,0,3635.19,254,0,1.8,7.48,3162352474,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:31.3,11:31.3
1066,52.6,49.564,04714B601096,a,51.821,0,3635.339,255,0,1.848,7.57,3162352775,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:31.6,16:31.6
1065,52.3,49.471,04714B601096,a,50.12,0,3635.488,255,0,1.85,7.58,3162353075,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:31.8,21:31.8
1063,52.4,49.286,04714B601096,a,46.696,0,3635.637,254,0,1.808,7.47,3162353375,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:32.0,26:32.0
1067,52.1,49.655,04714B601096,a,53.732,0,3635.791,255,0,1.88,7.6,3162353675,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:32.2,31:32.2
1062,52,49.193,04714B601096,a,44.53,0,3635.947,254,0,1.788,7.51,3162353975,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:32.4,36:32.4
1062,51.9,49.193,04714B601096,a,44.162,0,3636.093,254,0,1.802,7.44,3162354276,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:32.6,41:32.6
1067,52.1,49.584,04714B601096,a,54.929,0,3636.242,255,0,1.9,7.62,3162354576,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:32.8,46:32.8
1063,52.3,49.286,04714B601096,a,47.211,0,3636.4,254,0,1.82,7.55,3162354876,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:33.0,51:33.0
1061,52.5,49.099,04714B601096,a,41.986,0,3636.547,253,0,1.772,7.46,3162355176,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,56:33.3,56:33.3
1062,52.5,49.192,04714B601096,a,43.352,0,3636.692,254,0,1.778,7.53,3162355476,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:33.5,01:33.5
1064,52.5,49.379,04714B601096,a,47.678,0,3636.841,254,0,1.822,7.49,3162355777,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:33.7,06:33.7
1063,52.9,49.286,04714B601096,a,46.696,0,3636.993,254,0,1.804,7.48,3162356077,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:33.9,11:33.9
